Level,brightness,contrast,defocus_blur,fog,frost,gaussian_noise,impulse_noise,motion_blur,pixelation,shot_noise,snow,zoom_blur
1,98.52,79.18,98.4,98.5,98.37,98.31,94.84,98.38,97.15,97.71,98.35,98.38
2,98.45,80.06,98.31,98.5,98.43,98.22,92.18,96.16,97.0,95.18,98.32,96.81
3,98.17,81.02,98.23,98.12,98.4,98.24,87.99,96.89,96.62,87.61,98.32,96.09
4,97.61,81.81,98.03,96.46,98.43,97.98,82.51,89.23,96.69,74.2,93.23,89.72
5,95.67,82.44,97.99,81.9,98.42,97.76,76.7,88.31,96.86,60.1,92.38,85.06
6,90.94,83.02,97.77,50.28,98.45,97.31,71.22,73.84,97.5,47.16,91.27,67.45
7,82.12,83.55,97.48,17.66,98.43,96.63,67.01,72.08,97.18,35.23,89.1,58.05
8,74.65,83.98,97.15,9.99,98.46,95.48,62.95,58.16,96.61,25.73,87.72,36.32
9,63.03,84.34,96.74,9.74,98.44,93.78,58.19,56.96,96.8,19.64,85.37,30.26
10,49.01,85.07,96.11,9.74,98.44,90.68,54.35,48.64,96.35,15.97,82.81,17.89
